candidate_id,robust,beats_control_3pct_gate,ending_capital,capital_delta_vs_control,capital_lift_vs_control,cagr,sharpe,maximum_drawdown,worst_fold_return,capital_rotations,market_exposure,cash_days,loss_avoided_by_cash_usd,profit_missed_by_cash_usd,net_cash_edge_usd,cash_intervention_sessions,absolute_entry_threshold,absolute_exit_discount,absolute_exit_threshold,cash_reentry_premium,minimum_risk_safety,minimum_horizon_agreement,reentry_confirmation_sessions,fold_1_return,fold_1_max_drawdown,fold_2_return,fold_2_max_drawdown,fold_3_return,fold_3_max_drawdown,is_control,rank
0,True,False,1318356.2872602101,0.0,0.0,1.24755593953845,1.9658435084150165,-0.30987408627901614,1.1604735482697706,355,1.0,0,0.0,0.0,0.0,0,0.5,0.1,0.4,0.05,0.2,0.55,1,1.1604735482697706,-0.30987408627901614,8.015479993046188,-0.20920403296262158,5.768539805871221,-0.30275050844565476,True,1
873,False,False,914430.4100372333,-403925.8772229769,-0.306385975571452,1.1152036308427902,1.8899780119582745,-0.36650029269855455,0.5384980260278316,357,0.9012508229098091,150,180857.5255900922,218483.46516963185,-37625.93957953964,150,0.562978,0.063149,0.49982899999999997,0.059829,0.008212,0.252612,1,0.5384980260278316,-0.36650029269855455,9.179432388769559,-0.2092040329626217,4.838888135432994,-0.29998826542833223,False,2
791,False,False,911949.3382047609,-406406.9490554492,-0.30826791890987115,1.1142504493613234,1.8785985945685113,-0.30275050844565454,0.6681397361985801,365,0.9664252797893351,51,88681.32254597358,143862.7891203239,-55181.466574350314,51,0.484437,0.133444,0.350993,0.044322,0.010114,0.430446,1,0.6681397361985801,-0.26303587922222105,8.595381448847208,-0.20920403296262147,4.697391204019644,-0.3027505084456552,False,3
781,False,False,881589.1366734668,-436767.1505867434,-0.3312967479333123,1.1024078925377698,1.86335702875665,-0.3854363662401278,0.47805901925254934,363,0.9387755102040817,93,110692.88218034913,145742.40347002103,-35049.5212896719,93,0.522617,0.226988,0.29562900000000003,0.078624,0.005479,0.642002,1,0.47805901925254934,-0.3854363662401278,8.405003048858314,-0.20920403296262147,5.341843395352368,-0.3027505084456549,False,4
83,False,False,842120.2177979059,-476236.06946230424,-0.3612347239242978,1.0864928480639047,1.857792105089372,-0.3952248854611592,0.4854873140815974,358,0.9157340355497038,128,153679.1876016729,191104.5770156306,-37425.38941395772,128,0.550904,0.103421,0.44748299999999996,0.091621,0.002535,0.497676,1,0.4854873140815974,-0.3952248854611592,8.757571733765374,-0.20920403296262158,4.809829588934572,-0.2999882654283328,False,5
519,False,False,833800.1589310147,-484556.12832919543,-0.36754565743088563,1.0830587822808218,1.8374483012787344,-0.3952248854611602,0.4847659076262252,368,0.9736668861092824,40,64472.243165840504,74648.09635041421,-10175.853184573709,40,0.487444,0.085516,0.401928,0.00947,0.002323,0.546967,1,0.4847659076262252,-0.3952248854611602,7.713228493998555,-0.20920403296262147,5.445029114762483,-0.30275050844565476,False,6
767,False,False,775024.5205378889,-543331.7667223213,-0.41212817200687524,1.0579500053484505,1.8640067922318766,-0.36650029269855444,0.4751469991009576,346,0.837393021724819,247,231266.98058301563,285346.65956249624,-54079.67897948061,247,0.58907,0.186455,0.40261499999999995,0.049567,0.010381,0.527533,1,0.4751469991009576,-0.36650029269855444,8.75476796315313,-0.20920403296262202,4.385960942486861,-0.2999882654283321,False,7
893,False,False,728865.8739244754,-589490.4133357347,-0.44714044225541305,1.0370920998566318,1.8113155068276179,-0.3171762573586966,0.6357525447345787,356,0.9624753127057275,57,65304.23652100205,158009.6647116891,-92705.42819068706,57,0.469903,0.061337,0.408566,0.03481,0.003322,0.444303,2,0.6357525447345787,-0.3171762573586966,7.709509784983874,-0.20920403296262136,4.116067910746606,-0.3027505084456549,False,8
428,False,False,725413.135370519,-592943.1518896911,-0.4497594145221072,1.0354880082930942,1.8585781279639515,-0.30275050844565476,0.617365886235723,361,0.9262672811059908,112,101202.43306162376,193857.30688425078,-92654.87382262702,112,0.499276,0.096621,0.402655,0.02054,0.022081,0.147719,1,0.617365886235723,-0.26617532573338976,8.0400726223747,-0.15502901353965193,3.9614111380148325,-0.3027505084456549,False,9
980,False,False,657490.0517387632,-660866.2355214469,-0.5012804519595002,1.0025589192789557,1.7849503476860198,-0.3562468548298898,0.4352636986747145,372,0.9381171823568137,94,89477.5108377713,154079.91860767873,-64602.407769907426,94,0.51295,0.196131,0.316819,0.053839,0.012247,0.725466,1,0.4352636986747145,-0.3562468548298898,8.05057518738663,-0.2092040329626218,4.061524050634039,-0.3027505084456549,False,10
904,False,False,646453.5982066216,-671902.6890535885,-0.5096518259490592,0.9969428886821337,1.8536016788983183,-0.3027505084456552,0.526607269585746,361,0.9124423963133641,133,107910.37331104814,203570.04846935903,-95659.67515831089,133,0.506656,0.086912,0.419744,0.004262,0.035853,0.420911,1,0.526607269585746,-0.2586068966873958,7.69228886110864,-0.15502901353965193,3.8716477731832324,-0.30275050844565443,False,11
896,False,False,624614.3535879065,-693741.9336723037,-0.5262173362210216,0.9855898392148936,1.8421075673041565,-0.3354862667402948,0.6310470028981698,366,0.923633969716919,116,94314.04132894684,186894.8111969881,-92580.76986804126,116,0.492556,0.103001,0.389555,0.015597,0.024721,0.654262,1,0.6310470028981698,-0.3354862667402948,6.7136015979450345,-0.15502901353965193,3.964645913969431,-0.3027505084456551,False,12
973,False,False,619049.0333367919,-699307.2539234182,-0.5304387445799716,0.9826438568815492,1.8737084473494554,-0.35771672224750384,0.36217480607863073,356,0.8294930875576036,259,204207.1168478929,296556.83495941875,-92349.71811152584,259,0.5825,0.176587,0.405913,0.015345,0.040771,0.578345,1,0.36217480607863073,-0.35771672224750384,8.83551255151016,-0.15502901353965193,3.620566331615967,-0.29998826542833246,False,13
475,False,False,608046.5936963876,-710309.6935638225,-0.538784318342334,0.9767541479666855,1.8042630222343155,-0.35274593869659265,0.3706617876257938,359,0.9289005924950625,108,88779.66492932639,161057.80502209318,-72278.14009276679,108,0.470337,0.131353,0.338984,0.098077,0.020381,0.596424,1,0.3706617876257938,-0.35274593869659265,7.858466141924465,-0.15502901353965193,4.007812097302936,-0.3027505084456543,False,14
820,False,False,594334.8428367451,-724021.444423465,-0.5491849596501083,0.9692883971500879,1.8395929899254966,-0.30275050844565454,0.5205960759258454,360,0.9058591178406846,143,121970.49479521859,235073.7938281469,-113103.29903292832,143,0.479903,0.278796,0.20110700000000004,0.001425,0.0463,0.18456,1,0.5205960759258454,-0.2718109545199474,8.108091334273853,-0.15502901353965193,3.2913105970215435,-0.30275050844565465,False,15
446,False,False,567210.7265291868,-751145.5607310233,-0.5697591523548188,0.9540864680094765,1.8197895659328562,-0.3460703707993935,0.2942940351160981,355,0.9052007899934167,144,106227.28374898966,176029.50695305885,-69802.22320406919,144,0.488816,0.193638,0.29517799999999994,0.08976,0.037058,0.562814,1,0.2942940351160981,-0.3460703707993935,7.764159699862443,-0.15502901353965193,4.000359199302673,-0.30275050844565465,False,16
20,False,False,562248.9251431088,-756107.3621171013,-0.5735227794061901,0.9512402280658367,1.8479729380451164,-0.3481859431285077,0.38610403720942177,327,0.8084265964450297,291,207531.30126193012,285797.5590652806,-78266.25780335048,291,0.578647,0.165786,0.41286100000000003,0.061224,0.035184,0.592926,1,0.38610403720942177,-0.3481859431285077,7.5830147563418375,-0.15962516224371803,3.725991609057661,-0.29998826542833235,False,17
